,URL,Repo owner,Repo name,Issue #,Repo type,Research Prototype,Repo creation time,Issue creation time,Time Slot/d,Label,Framework,Same Code?,Same Data?,Impacts,Part of Implementation,Project Type,Reporter,Defect types,Root Causes,Manifestation
14,https://github.com/endernewton/tf-faster-rcnn/issues/86,endernewton,tf-faster-rcnn,86,Solo Repository,No,2017-01-23T19:51:32Z,2017-05-12T05:55:04Z,108.0,,Tensorflow,Yes,Yes,Numerical Instability,Environment,"User ""fork""",Re-user,Internal interface,GPU Usage Bug,Reproducibility defects
15,https://github.com/endernewton/tf-faster-rcnn/issues/96,endernewton,tf-faster-rcnn,96,Solo Repository,No,2017-01-23T19:51:32Z,2017-05-20T07:42:22Z,116.0,,Tensorflow,Yes,Yes,Crash,Environment,"User ""fork""",Re-user,External interface,Wrong Environment Configuration,Basic defects
16,https://github.com/eriklindernoren/PyTorch-YOLOv3/issues/110,eriklindernoren,PyTorch-YOLOv3,110,Solo Repository,No,2018-05-21T16:05:55Z,2019-01-06T09:15:37Z,229.0,,Pytorch,Yes,Yes,Crash,Data pipeline,"User ""fork""",Re-user,Assignment/initialization,Data preprocessing bugs,Basic defects
17,https://github.com/eriklindernoren/PyTorch-YOLOv3/issues/142,eriklindernoren,PyTorch-YOLOv3,142,Solo Repository,No,2018-05-21T16:05:55Z,2019-04-26T16:45:23Z,340.0,,Pytorch,Yes,Yes,Incorrect Functionality,Environment,"User ""fork""",Re-user,External interface,API defects,Basic defects
18,https://github.com/eriklindernoren/PyTorch-YOLOv3/issues/145,eriklindernoren,PyTorch-YOLOv3,145,Solo Repository,No,2018-05-21T16:05:55Z,2019-04-28T21:56:21Z,342.0,,Pytorch,Yes,No,Crash,Training,"User ""fork""",Adaptor,Assignment/initialization,Hyperparameters,Basic defects
19,https://github.com/eriklindernoren/PyTorch-YOLOv3/issues/157,eriklindernoren,PyTorch-YOLOv3,157,Solo Repository,No,2018-05-21T16:05:55Z,2019-05-04T01:05:59Z,347.0,,Pytorch,Yes,No,Crash,Data pipeline,"User ""fork""",Adaptor,Logic,Training Data Quality,Evolutionary defects
20,https://github.com/eriklindernoren/PyTorch-YOLOv3/issues/159,eriklindernoren,PyTorch-YOLOv3,159,Solo Repository,No,2018-05-21T16:05:55Z,2019-05-04T12:20:27Z,347.0,,Pytorch,Yes,No,Crash,Training,"User ""fork""",Re-user,Checking,Low frequency type,Basic defects
21,https://github.com/eriklindernoren/PyTorch-YOLOv3/issues/178,eriklindernoren,PyTorch-YOLOv3,178,Solo Repository,No,2018-05-21T16:05:55Z,2019-05-16T16:46:36Z,360.0,,Pytorch,Yes,Not mentioned,Crash,Training,"User ""fork""",Re-user,Checking,Low frequency type,Basic defects
22,https://github.com/eriklindernoren/PyTorch-YOLOv3/issues/2,eriklindernoren,PyTorch-YOLOv3,2,Solo Repository,No,2018-05-21T16:05:55Z,2018-05-30T02:42:53Z,8.0,,Pytorch,Yes,Yes,Bad Performance (lower accuracy),Modeling,"User ""fork""",Re-user,Timing/optimization,Model/weight,Reproducibility defects
23,https://github.com/eriklindernoren/PyTorch-YOLOv3/issues/2,eriklindernoren,PyTorch-YOLOv3,2,Solo Repository,No,2018-05-21T16:05:55Z,2018-05-30T02:42:53Z,8.0,,Pytorch,Yes,Yes,Bad Performance (lower accuracy),Training,Major replication,Enhancer,Timing/optimization,Low frequency type,Evolutionary defects
24,https://github.com/eriklindernoren/PyTorch-YOLOv3/issues/256,eriklindernoren,PyTorch-YOLOv3,256,Solo Repository,No,2018-05-21T16:05:55Z,2019-08-01T14:01:41Z,436.0,,Pytorch,Yes,No,Crash,Data pipeline,"User ""fork""",Adaptor,Assignment/initialization,Training data quality,Basic defects
25,https://github.com/eriklindernoren/PyTorch-YOLOv3/issues/327,eriklindernoren,PyTorch-YOLOv3,327,Solo Repository,No,2018-05-21T16:05:55Z,2019-10-29T03:58:56Z,525.0,,Pytorch,Yes,Yes,Crash,Environment,"User ""fork""",Re-user,External interface,API defects,Basic defects
26,https://github.com/eriklindernoren/PyTorch-YOLOv3/issues/372,eriklindernoren,PyTorch-YOLOv3,372,Solo Repository,No,2018-05-21T16:05:55Z,2019-12-11T15:41:49Z,568.0,,Pytorch,Yes,Yes,Crash,Data pipeline,"User ""fork""",Re-user,Internal interface,Low frequency type,Basic defects
27,https://github.com/eriklindernoren/PyTorch-YOLOv3/issues/45,eriklindernoren,PyTorch-YOLOv3,45,Solo Repository,No,2018-05-21T16:05:55Z,2018-06-22T02:17:21Z,31.0,,Pytorch,No,No,Bad Performance (lower accuracy),Modeling,Major replication,Adaptor,Timing/optimization,Model/weight,Evolutionary defects
28,https://github.com/eriklindernoren/PyTorch-YOLOv3/issues/456,eriklindernoren,PyTorch-YOLOv3,456,Solo Repository,No,2018-05-21T16:05:55Z,2020-03-21T03:17:33Z,669.0,,Pytorch,Yes,Yes,Crash,Data pipeline,"User ""fork""",Re-user,Assignment/initialization,Data preprocessing bugs,Basic defects
29,https://github.com/eriklindernoren/PyTorch-YOLOv3/issues/61,eriklindernoren,PyTorch-YOLOv3,61,Solo Repository,No,2018-05-21T16:05:55Z,2018-09-06T06:55:59Z,107.0,,Pytorch,Yes,Yes,Incorrect Functionality,Training,Major replication,Enhancer,Algorithm/method,Low frequency type,Evolutionary defects
30,https://github.com/eriklindernoren/PyTorch-YOLOv3/issues/620,eriklindernoren,PyTorch-YOLOv3,620,Solo Repository,No,2018-05-21T16:05:55Z,2021-01-31T10:15:28Z,985.0,,Pytorch,Yes,Yes,Crash,Data pipeline,"User ""fork""",Re-user,Checking,Training data quality,Basic defects
31,https://github.com/eriklindernoren/PyTorch-YOLOv3/issues/628,eriklindernoren,PyTorch-YOLOv3,628,Solo Repository,No,2018-05-21T16:05:55Z,2021-02-08T13:48:52Z,993.0,,Pytorch,Yes,No,Incorrect Functionality,Training,"User ""fork""",Enhancer,Algorithm/method,Training configurations,Evolutionary defects
32,https://github.com/eriklindernoren/PyTorch-YOLOv3/issues/75,eriklindernoren,PyTorch-YOLOv3,75,Solo Repository,No,2018-05-21T16:05:55Z,2018-10-04T08:03:17Z,135.0,,Pytorch,Yes,Yes,Bad Performance (lower accuracy),Modeling,"User ""fork""",Re-user,Internal interface,Model/weight,Reproducibility defects
33,https://github.com/eriklindernoren/PyTorch-YOLOv3/issues/86,eriklindernoren,PyTorch-YOLOv3,86,Solo Repository,No,2018-05-21T16:05:55Z,2018-10-22T06:10:43Z,153.0,,Pytorch,No,No,Incorrect Functionality,Modeling,"User ""fork""",Adaptor,Assignment/initialization,Model/weight,Evolutionary defects
34,https://github.com/eriklindernoren/PyTorch-YOLOv3/issues/92,eriklindernoren,PyTorch-YOLOv3,92,Solo Repository,No,2018-05-21T16:05:55Z,2018-11-01T05:48:24Z,163.0,,Pytorch,Yes,Yes,Incorrect Functionality,Training,Major replication,Re-user,Algorithm/method,Low frequency type,Reproducibility defects
35,https://github.com/facebookresearch/Detectron/issues/103,facebookresearch,Detectron,103,Zoo Repository,No,2017-10-05T17:32:00Z,2018-02-02T10:09:59Z,119.0,['community help wanted'],Caffe2,Yes,Yes,Crash,Environment,"User ""fork""",Re-user,Internal interface,Wrong Environment Configuration,Basic defects
36,https://github.com/facebookresearch/Detectron/issues/122,facebookresearch,Detectron,122,Zoo Repository,No,2017-10-05T17:32:00Z,2018-02-07T17:04:09Z,124.0,N/a,Caffe2,Yes,Yes,Crash,Environment,"User ""fork""",Re-user,External interface,API defects,Basic defects
37,https://github.com/facebookresearch/Detectron/issues/169,facebookresearch,Detectron,169,Zoo Repository,No,2017-10-05T17:32:00Z,2018-02-20T09:16:44Z,137.0,['community help wanted'],Caffe2,Yes,No,Crash,Training,"User ""fork""",Adaptor,Assignment/initialization,Training configurations,Basic defects
38,https://github.com/facebookresearch/Detectron/issues/20,facebookresearch,Detectron,20,Zoo Repository,No,2017-10-05T17:32:00Z,2018-01-24T08:58:59Z,110.0,['cannot repro'],Caffe2,Yes,Yes,Crash,Environment,"User ""fork""",Re-user,External interface,API defects,Basic defects
39,https://github.com/facebookresearch/Detectron/issues/209,facebookresearch,Detectron,209,Zoo Repository,No,2017-10-05T17:32:00Z,2018-03-01T02:34:35Z,146.0,N/a,Caffe2,Yes,No,Crash,Data pipeline,"User ""fork""",Enhancer,Internal interface,Data preprocessing bugs,Basic defects
40,https://github.com/facebookresearch/Detectron/issues/237,facebookresearch,Detectron,237,Zoo Repository,No,2017-10-05T17:32:00Z,2018-03-06T03:26:22Z,151.0,['cannot repro'],Caffe2,Yes,Yes,Crash,Modeling,Major replication,Re-user,Internal interface,Model/weight,Basic defects
41,https://github.com/facebookresearch/Detectron/issues/32,facebookresearch,Detectron,32,Zoo Repository,No,2017-10-05T17:32:00Z,2018-01-25T07:48:11Z,111.0,['upstream bug'],Caffe2,Yes,Not mentioned,Crash,Environment,"User ""fork""",Re-user,External interface,GPU Usage Bug,Basic defects
42,https://github.com/facebookresearch/Detectron/issues/361,facebookresearch,Detectron,361,Zoo Repository,No,2017-10-05T17:32:00Z,2018-04-12T09:32:24Z,188.0,N/a,Caffe2,Yes,No,Crash,Environment,"User ""fork""",Adaptor,External interface,API defects,Basic defects
43,https://github.com/facebookresearch/Detectron/issues/433,facebookresearch,Detectron,433,Zoo Repository,No,2017-10-05T17:32:00Z,2018-05-16T06:45:37Z,222.0,N/a,Caffe2,Yes,Yes,Crash,Environment,"User ""fork""",Re-user,External interface,API defects,Basic defects
44,https://github.com/facebookresearch/Detectron/issues/454,facebookresearch,Detectron,454,Zoo Repository,No,2017-10-05T17:32:00Z,2018-05-29T03:17:47Z,235.0,,Caffe2,Yes,Yes,Crash,Environment,"User ""fork""",Re-user,External interface,Wrong Environment Configuration,Basic defects
45,https://github.com/facebookresearch/Detectron/issues/475,facebookresearch,Detectron,475,Zoo Repository,No,2017-10-05T17:32:00Z,2018-06-06T06:57:50Z,243.0,N/a,Caffe2,Yes,Not mentioned,Crash,Environment,"User ""fork""",Re-user,External interface,API defects,Basic defects
46,https://github.com/facebookresearch/Detectron/issues/5,facebookresearch,Detectron,5,Zoo Repository,No,2017-10-05T17:32:00Z,2018-01-23T09:45:47Z,109.0,N/a,Caffe2,Yes,No,Memory Exhaustion,Environment,"User ""fork""",Adaptor,Assignment/initialization,GPU Usage Bug,Evolutionary defects
47,https://github.com/facebookresearch/Detectron/issues/502,facebookresearch,Detectron,502,Zoo Repository,No,2017-10-05T17:32:00Z,2018-06-18T20:33:08Z,256.0,N/a,Caffe2,Yes,Yes,Crash,Environment,"User ""fork""",Re-user,External interface,API defects,Basic defects
48,https://github.com/facebookresearch/Detectron/issues/524,facebookresearch,Detectron,524,Zoo Repository,No,2017-10-05T17:32:00Z,2018-06-27T00:15:47Z,264.0,N/a,Caffe2,Yes,Not mentioned,Incorrect functionality,Environment,"User ""fork""",Re-user,Internal interface,Wrong Environment Configuration,Basic defects
49,https://github.com/facebookresearch/Detectron/issues/918,facebookresearch,Detectron,918,Zoo Repository,No,2017-10-05T17:32:00Z,2019-07-21T09:11:55Z,653.0,N/a,Caffe2,Yes,No,Bad performance (lower accuracy),Environment,"User ""fork""",Adaptor,External interface,GPU usage bug,Evolutionary defects
50,https://github.com/facebookresearch/detectron2/issues/101,facebookresearch,detectron2,101,Zoo Repository,No,2019-09-05T21:30:20Z,2019-10-17T03:26:28Z,41.0,,Pytorch,Yes,Yes,Incorrect functionality,Data pipeline,"User ""fork""",Re-user,Assignment/initialization,Wrong Environment Configuration,Basic defects
51,https://github.com/facebookresearch/detectron2/issues/1037,facebookresearch,detectron2,1037,Zoo Repository,No,2019-09-05T21:30:20Z,2020-03-12T03:14:29Z,188.0,,Pytorch,Yes,Yes,Crash,Training,"User ""fork""",Re-user,Internal interface,Low frequency type,Basic defects
52,https://github.com/facebookresearch/detectron2/issues/1037,facebookresearch,detectron2,1037,Zoo Repository,No,2019-09-05T21:30:20Z,2020-03-12T03:14:29Z,188.0,,Pytorch,Yes,Yes,Crash,Environment,"User ""fork""",Re-user,External interface,GPU Usage Bug,Basic defects
53,https://github.com/facebookresearch/detectron2/issues/174,facebookresearch,detectron2,174,Zoo Repository,No,2019-09-05T21:30:20Z,2019-10-26T06:33:07Z,50.0,,Pytorch,Yes,No,Crash,Environment,"User ""fork""",Adaptor,Internal interface,Wrong Environment Configuration,Basic defects
54,https://github.com/facebookresearch/detectron2/issues/235,facebookresearch,detectron2,235,Zoo Repository,No,2019-09-05T21:30:20Z,2019-11-04T18:23:00Z,59.0,['installation / environment'],Pytorch,Yes,Not mentioned,Crash,Environment,"User ""fork""",Re-user,External interface,Wrong Environment Configuration,Basic defects
55,https://github.com/facebookresearch/detectron2/issues/320,facebookresearch,detectron2,320,Zoo Repository,No,2019-09-05T21:30:20Z,2019-11-14T18:37:28Z,69.0,['installation / environment'],Pytorch,Yes,No,Crash,Data pipeline,"User ""fork""",Adaptor,Assignment/initialization,Low frequency type,Basic defects
56,https://github.com/facebookresearch/detectron2/issues/3225,facebookresearch,detectron2,3225,Zoo Repository,No,2019-09-05T21:30:20Z,2021-07-06T21:42:12Z,670.0,['documentation'],Pytorch,Yes,Yes,Incorrect functionality,Environment,"User ""fork""",Re-user,Non-functional defects,Insufficient/incorrect documentation,Basic defects
57,https://github.com/facebookresearch/detectron2/issues/55,facebookresearch,detectron2,55,Zoo Repository,No,2019-09-05T21:30:20Z,2019-10-14T06:42:43Z,38.0,['installation / environment'],Pytorch,Yes,Not mentioned,Crash,Environment,"User ""fork""",Re-user,Internal interface,API defects,Basic defects
58,https://github.com/facebookresearch/detectron2/issues/62,facebookresearch,detectron2,62,Zoo Repository,No,2019-09-05T21:30:20Z,2019-10-14T20:18:51Z,38.0,['installation / environment'],Pytorch,yes,Yes,Crash,Environment,"User ""fork""",Re-user,External interface,API defects,Basic defects
59,https://github.com/facebookresearch/detectron2/issues/657,facebookresearch,detectron2,657,Zoo Repository,No,2019-09-05T21:30:20Z,2020-01-09T09:59:21Z,125.0,,pytorch,No,Not mentioned,Crash,Environment,"User ""fork""",Enhancer,External interface,Wrong Environment Configuration,Evolutionary defects
60,https://github.com/facebookresearch/detectron2/issues/693#issue-549261146,facebookresearch,detectron2,693#issue-549261146,Zoo Repository,No,2019-09-05T21:30:20Z,2020-01-14T00:29:20Z,130.0,installation / environment; invalid/unrelated,Pytorch,Yes,Yes,Crash,Environment,"User ""fork""",Re-user,External interface,API defects,Basic defects
61,https://github.com/facebookresearch/detectron2/issues/80,facebookresearch,detectron2,80,Zoo Repository,No,2019-09-05T21:30:20Z,2019-10-15T23:30:38Z,40.0,,Pytorch,No,No,Incorrect functionality,Data pipeline,Major replication,Enhancer,Non-functional defects,Data preprocessing bugs,Evolutionary defects
62,https://github.com/facebookresearch/detectron2/issues/810,facebookresearch,detectron2,810,Zoo Repository,No,2019-09-05T21:30:20Z,2020-02-05T18:03:14Z,152.0,,Pytorch,No,Yes,Crash,Data pipeline,"User ""fork""",Enhancer,Data structure,Data preprocessing bugs,Evolutionary defects
63,https://github.com/fizyr/keras-retinanet/issues/1176,fizyr,keras-retinanet,1176,Solo Repository,Yes,2017-08-14T09:14:29Z,2019-11-08T17:33:42Z,816.0,,Keras,Yes,No,Crash,Data pipeline,"User ""fork""",Adaptor,Data structure,Data preprocessing bugs,Evolutionary defects
64,https://github.com/fizyr/keras-retinanet/issues/1395,fizyr,keras-retinanet,1395,Solo Repository,Yes,2017-08-14T09:14:29Z,2020-06-23T03:58:17Z,1043.0,['stale'],Keras,Yes,Yes,Crash,Environment,"User ""fork""",Re-user,External interface,Wrong Environment Configuration,Basic defects
65,https://github.com/fizyr/keras-retinanet/issues/1449,fizyr,keras-retinanet,1449,Solo Repository,Yes,2017-08-14T09:14:29Z,2020-08-30T18:58:07Z,1112.0,['stale'],Keras,yes,Not mentioned,crash,Training,"User ""fork""",Re-user,Assignment/initialization,Hyperparameters,Basic defects
66,https://github.com/fizyr/keras-retinanet/issues/1535,fizyr,keras-retinanet,1535,Solo Repository,Yes,2017-08-14T09:14:29Z,2021-05-23T20:59:50Z,1378.0,,Keras,yes,No,Crash,Modeling,"User ""fork""",Adaptor,Non-functional defects,Model/weight,Basic defects
67,https://github.com/fizyr/keras-retinanet/issues/163,fizyr,keras-retinanet,163,Solo Repository,Yes,2017-08-14T09:14:29Z,2017-12-06T11:06:01Z,114.0,,Keras,Yes,No,Crash,Data pipeline,Major replication,Adaptor,Assignment/initialization,Data preprocessing bugs,Evolutionary defects
68,https://github.com/fizyr/keras-retinanet/issues/270,fizyr,keras-retinanet,270,Solo Repository,Yes,2017-08-14T09:14:29Z,2018-02-06T07:20:00Z,175.0,,Keras,yes,Yes,Crash,Environment,"User ""fork""",Re-user,Non-functional defects,Wrong Environment Configuration,Basic defects
69,https://github.com/fizyr/keras-retinanet/issues/322,fizyr,keras-retinanet,322,Solo Repository,Yes,2017-08-14T09:14:29Z,2018-03-09T13:10:46Z,207.0,,Keras,yes,yes,Bad Performance (lower speed),Environment,"User ""fork""",Re-user,External interface,API defects,Reproducibility defects
70,https://github.com/fizyr/keras-retinanet/issues/49,fizyr,keras-retinanet,49,Solo Repository,Yes,2017-08-14T09:14:29Z,2017-11-09T09:57:24Z,87.0,,Keras,Yes,No,Crash,Data pipeline,Research Prototype,Enhancer,Algorithm/method,Training data quality,Evolutionary defects
71,https://github.com/fizyr/keras-retinanet/issues/49,fizyr,keras-retinanet,49,Solo Repository,Yes,2017-08-14T09:14:29Z,2017-11-09T09:57:24Z,87.0,,Keras,Yes,No,Crash,Modeling,Research Prototype,Enhancer,Algorithm/method,Layer Properties,Evolutionary defects
72,https://github.com/fizyr/keras-retinanet/issues/509,fizyr,keras-retinanet,509,Solo Repository,Yes,2017-08-14T09:14:29Z,2018-06-19T00:38:08Z,308.0,,Keras,yes,no,crash,Data pipeline,"User ""fork""",Enhancer,Data structure,Corrupt Data,Basic defects
73,https://github.com/fizyr/keras-retinanet/issues/618,fizyr,keras-retinanet,618,Solo Repository,Yes,2017-08-14T09:14:29Z,2018-08-02T05:54:52Z,352.0,,Keras,yes,No,Bad Performance (lower accuracy),Training,"User ""fork""",Adaptor,Assignment/initialization,Training configurations,Evolutionary defects
74,https://github.com/fizyr/keras-retinanet/issues/618,fizyr,keras-retinanet,618,Solo Repository,Yes,2017-08-14T09:14:29Z,2018-08-02T05:54:52Z,352.0,,Keras,yes,No,Bad Performance (lower accuracy),Training,"User ""fork""",Adaptor,Timing/optimization,Hyperparameters,Evolutionary defects
75,https://github.com/fizyr/keras-retinanet/issues/667,fizyr,keras-retinanet,667,Solo Repository,Yes,2017-08-14T09:14:29Z,2018-09-08T09:02:18Z,389.0,,Keras,yes,no,Bad Performance (lower accuracy),Training,"User ""fork""",Enhancer,Algorithm/method,Training configurations,Evolutionary defects
76,https://github.com/fizyr/keras-retinanet/issues/676,fizyr,keras-retinanet,676,Solo Repository,Yes,2017-08-14T09:14:29Z,2018-09-12T09:58:09Z,394.0,,Keras,No,Not mentioned,Crash,Environment,"User ""fork""",Enhancer,Algorithm/method,Low frequency type,Evolutionary defects
77,https://github.com/fizyr/keras-retinanet/issues/680,fizyr,keras-retinanet,680,Solo Repository,Yes,2017-08-14T09:14:29Z,2018-09-14T12:17:17Z,396.0,,Keras,No,No,Incorrect functionality,Data pipeline,"User ""fork""",Adaptor,Assignment/initialization,Low frequency type,Evolutionary defects
78,https://github.com/fizyr/keras-retinanet/issues/835,fizyr,keras-retinanet,835,Solo Repository,Yes,2017-08-14T09:14:29Z,2018-12-11T13:34:58Z,484.0,,Keras,Yes,No,Crash,Environment,"User ""fork""",Adaptor,External interface,Wrong Environment Configuration,Basic defects
79,https://github.com/fizyr/keras-retinanet/issues/92,fizyr,keras-retinanet,92,Solo Repository,Yes,2017-08-14T09:14:29Z,2017-11-22T06:38:21Z,99.0,,Keras,Yes,Yes,Crash,Environment,"User ""fork""",Re-user,Non-functional defects,Wrong Environment Configuration,Basic defects
80,https://github.com/fizyr/keras-retinanet/issues/930,fizyr,keras-retinanet,930,Solo Repository,Yes,2017-08-14T09:14:29Z,2019-03-05T12:34:08Z,568.0,,Keras,yes,No,Crash,Data pipeline,"User ""fork""",Adaptor,Checking,Corrupt Data,Basic defects
81,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix/issues/115,junyanz,pytorch-CycleGAN-and-pix2pix,115,Solo Repository,Yes,2017-04-18T10:33:05Z,2017-10-06T01:54:52Z,170.0,,pytorch,Yes,No,Crash,Data pipeline,"User ""fork""",Adaptor,Algorithm/method,Layer properties,Basic defects
82,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix/issues/150,junyanz,pytorch-CycleGAN-and-pix2pix,150,Solo Repository,Yes,2017-04-18T10:33:05Z,2017-11-15T06:52:32Z,210.0,,pytorch,Yes,Yes,Bad Performance (lower accuracy),Training,"User ""fork""",Re-user,Assignment/initialization,Hyperparameters,Reproducibility defects
83,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix/issues/230,junyanz,pytorch-CycleGAN-and-pix2pix,230,Solo Repository,Yes,2017-04-18T10:33:05Z,2018-03-31T06:18:45Z,346.0,,pytorch,Yes,Not mentioned,Incorrect Functionality,Environment,"User ""fork""",Re-user,Internal interface,Wrong Environment Configuration,Basic defects
84,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix/issues/296,junyanz,pytorch-CycleGAN-and-pix2pix,296,Solo Repository,Yes,2017-04-18T10:33:05Z,2018-06-19T02:27:16Z,426.0,,pytorch,Yes,Yes,Crash,Modeling,"User ""fork""",Re-user,Algorithm/method,Layer properties,Basic defects
85,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix/issues/309,junyanz,pytorch-CycleGAN-and-pix2pix,309,Solo Repository,Yes,2017-04-18T10:33:05Z,2018-06-28T08:32:02Z,435.0,,pytorch,Yes,No,Bad Performance (lower accuracy),Environment,"User ""fork""",Adaptor,Algorithm/method,Data preprocessing bugs,Evolutionary defects
86,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix/issues/325,junyanz,pytorch-CycleGAN-and-pix2pix,325,Solo Repository,Yes,2017-04-18T10:33:05Z,2018-07-17T06:50:54Z,454.0,,pytorch,Yes,No,Incorrect Functionality,Data pipeline,"User ""fork""",Adaptor,Algorithm/method,Data preprocessing bugs,Evolutionary defects
87,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix/issues/336,junyanz,pytorch-CycleGAN-and-pix2pix,336,Solo Repository,Yes,2017-04-18T10:33:05Z,2018-07-24T06:50:13Z,461.0,,pytorch,Yes,Yes,Bad Performance (lower accuracy),Training,Research Prototype,Re-user,Algorithm/method,Training configurations,Reproducibility defects
88,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix/issues/358,junyanz,pytorch-CycleGAN-and-pix2pix,358,Solo Repository,Yes,2017-04-18T10:33:05Z,2018-08-29T13:18:06Z,498.0,,pytorch,Yes,No,Crash,Training,"User ""fork""",Adaptor,Assignment/initialization,Training configurations,Basic defects
89,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix/issues/360,junyanz,pytorch-CycleGAN-and-pix2pix,360,Solo Repository,Yes,2017-04-18T10:33:05Z,2018-08-31T12:38:02Z,500.0,,pytorch,Yes,Yes,Crash,Environment,"User ""fork""",Re-user,External interface,API defects,Basic defects
