,Issue #,Framework,same code,same data,DL Stage,Impacts,General Code Error Type,Root Causes,Manifestation
24,32,keras,not mentioned,no,data pipeline,crash,assignment/initialization,data preprocessing bugs,basic defects
25,41,pytorch,yes,not mentioned,environment,crash,external interface,gpu usage bug,basic defects
26,42,pytorch,yes,not mentioned,environment,crash,external interface,api defects,basic defects
27,45,pytorch,no,no,modeling,bad performance (lower accuracy),timing/optimization,model/weight,evolutionary defects
28,47,keras,not mentioned,no,training,bad performance (lower accuracy),assignment/initialization,model/weight,evolutionary defects
29,48,keras,yes,not mentioned,modeling,crash,assignment/initialization,model/weight,basic defects
30,54,tensorflow,yes,not mentioned,training,bad performance (lower speed),timing/optimization,gpu usage bug,evolutionary defects
31,55,keras,not mentioned,no,data pipeline,crash,internal interface,corrupt data,basic defects
32,55,caffe,yes,yes,environment,crash,external interface,gpu usage bug,basic defects
33,58,caffe,yes,yes,environment,crash,external interface,wrong environment configuration,basic defects
34,62,caffe,no,yes,modeling,bad performance (lower accuracy),algorithm/method,network structure,evolutionary defects
35,72,pytorch,yes,yes,training,memory exhaustion,algorithm/method,gpu usage bug,basic defects
36,80,pytorch,yes,no,training,memory exhaustion,algorithm/method,gpu usage bug,basic defects
37,86,pytorch,no,no,modeling,incorrect functionality,assignment/initialization,model/weight,evolutionary defects
38,87,pytorch,yes,not mentioned,training,crash,assignment/initialization,insufficient/incorrect documentation,basic defects
39,90,keras,no,not mentioned,training,bad performance (lower accuracy),internal interface,other,evolutionary defects
40,92,pytorch,yes,yes,training,incorrect functionality,algorithm/method,other,reproducibility defects
41,95,pytorch,not mentioned,no,environment,incorrect functionality,external interface,api defects,basic defects
42,97,tensorflow,yes,yes,training,bad performance (lower accuracy),timing/optimization,hyperparameters,reproducibility defects
43,104,pytorch,yes,not mentioned,environment,crash,internal interface,other',basic defects
44,110,pytorch,yes,yes,data pipeline,crash,assignment/initialization,data preprocessing bugs,basic defects
45,115,pytorch,yes,no,data pipeline,crash,algorithm/method,layer properties,basic defects
46,126,tensorflow,yes,no,data pipeline,bad performance (lower accuracy),assignment/initialization,data preprocessing bugs,evolutionary defects
47,145,pytorch,yes,no,training,crash,assignment/initialization,hyperparameters,basic defects
48,146,pytorch,yes,yes,training,bad performance (lower accuracy),assignment/initialization,gpu usage bug,evolutionary defects
49,147,pytorch,yes,not mentioned,environment,crash,external interface,api defects,basic defects
50,147,pytorch,yes,no,environment,crash,internal interface,gpu usage bug,basic defects
51,148,tensorflow,yes,yes,environment,incorrect functionality,non-functional defects,insufficient/incorrect documentation,basic defects
52,153,keras,not mentioned,no,modeling,crash,internal interface,model/weight,basic defects
53,157,pytorch,yes,no,data pipeline,crash,logic,training data quality,evolutionary defects
54,166,tensorflow,yes,yes,environment,crash,internal interface,api defects,basic defects
55,171,pytorch,yes,yes,training,bad performance (lower accuracy),timing/optimization,hyperparameters,reproducibility defects
56,178,pytorch,yes,not mentioned,training,crash,checking,evaluation,basic defects
57,190,pytorch,yes,yes,environment,crash,external interface,api defects,basic defects
58,197,pytorch,yes,no,training,bad performance (lower accuracy),assignment/initialization,training configurations,evolutionary defects
59,209,caffe2,yes,no,data pipeline,crash,internal interface,data preprocessing bugs,basic defects
60,222,pytorch,no,no,environment,crash,external interface,gpu usage bug,basic defects
61,222,pytorch,no,no,modeling,crash,external interface,model/weight,basic defects
62,235,pytorch,yes,yes,environment,crash,external interface,api defects,basic defects
63,237,caffe2,yes,yes,modeling,crash,internal interface,model/weight,basic defects
64,237,caffe,yes,not mentioned,environment,crash,external interface,gpu usage bug,basic defects
65,238,caffe,yes,yes,training,crash,assignment/initialization,hyperparameters,basic defects
66,242,tensorflow,yes,yes,training,incorrect functionality,algorithm/method,other,evolutionary defects
67,256,pytorch,yes,yes,training,bad performance (lower accuracy),other,nan,reproducibility defects
68,257,tensorflow,yes,yes,environment,crash,internal interface,wrong environment configuration,basic defects
69,264,pytorch,no,yes,training,bad performance (lower speed),timing/optimization,gpu usage bug,evolutionary defects
70,264,pytorch,no,yes,modeling,bad performance (lower accuracy),timing/optimization,layer properties,evolutionary defects
71,279,pytorch,yes,not mentioned,environment,crash,internal interface,gpu usage bug,basic defects
72,292,pytorch,yes,not mentioned,training,incorrect functionality,algorithm/method,hyperparameters,reproducibility defects
73,308,pytorch,not mentioned,not mentioned,environment,crash,internal interface,api defects,basic defects
74,310,pytorch,yes,yes,training,bad performance (lower accuracy),algorithm/method,hyperparameters,reproducibility defects
75,310,pytorch,yes,yes,training,bad performance (lower accuracy),timing/optimization,hyperparameters,reproducibility defects
76,312,pytorch,yes,yes,training,incorrect functionality,assignment/initialization,evaluation,reproducibility defects
77,324,pytorch,yes,no,data pipeline,incorrect functionality,data structure,data preprocessing bugs,evolutionary defects
78,332,keras,yes,yes,environment,crash,external interface,api defects,basic defects
79,337,tensorflow,yes,not mentioned,environment,crash,external interface,wrong environment configuration,basic defects
80,343,pytorch,yes,yes,training,bad performance (lower speed),timing/optimization,evaluation,reproducibility defects
81,354,keras,not mentioned,no,training,bad performance (lower accuracy),algorithm/method,evaluation,evolutionary defects
82,361,caffe2,yes,no,environment,crash,external interface,api defects,basic defects
83,372,pytorch,yes,yes,data pipeline,crash,internal interface,evaluation,basic defects
84,383,tensorflow,not mentioned,not mentioned,environment,low frequency type,algorithm/method,nan,reproducibility defects
85,394,tensorflow,yes,yes,environment,crash,external interface,api defects,basic defects
86,412,pytorch,no,not mentioned,environment,incorrect functionality,external interface,wrong environment configuration,basic defects
87,440,pytorch,not mentioned,not mentioned,environment,incorrect functionality,internal interface,gpu usage bug,basic defects
88,444,pytorch,yes,yes,environment,crash,memory exhaustion,gpu usage bug,basic defects
89,447,pytorch,yes,not mentioned,training,incorrect functionality,assignment/initialization,training configurations,evolutionary defects
90,459,pytorch,no,no,modeling,incorrect functionality,algorithm/method,model/weight,evolutionary defects
91,466,pytorch,yes,no,data pipeline,crash,assignment/initialization,nan,basic defects
92,475,caffe2,yes,not mentioned,environment,crash,external interface,api defects,basic defects
93,480,keras,not mentioned,not mentioned,modeling,crash,assignment/initialization,model/weight,basic defects
94,499,pytorch,yes,yes,training,bad performance (lower accuracy),assignment/initialization,hyperparameters,reproducibility defects
95,502,caffe2,yes,yes,environment,crash,external interface,api defects,basic defects
96,502,tensorflow,yes,no,data pipeline,crash,algorithm/method,training data quality,basic defects
97,524,caffe2,yes,not mentioned,environment,incorrect functionality,internal interface,wrong environment configuration,basic defects
98,530,pytorch,no,no,modeling,incorrect functionality,external interface,network structure,evolutionary defects
99,544,keras,not mentioned,not mentioned,environment,crash,external interface,api defects,basic defects
100,546,keras,yes,not mentioned,modeling,crash,assignment/initialization,model/weight,basic defects
101,628,pytorch,yes,no,training,incorrect functionality,algorithm/method,training configurations,evolutionary defects
102,650,pytorch,yes,no,modeling,crash,assignment/initialization,model/weight,basic defects
103,650,pytorch,yes,no,training,crash,non-functional defects,insufficient/incorrect documentation,basic defects
104,657,pytorch,no,not mentioned,environment,crash,external interface,wrong environment configuration,evolutionary defects
105,678,pytorch,yes,no,data pipeline,crash,assignment/initialization,data preprocessing bugs,basic defects
106,681,pytorch,not mentioned,not mentioned,environment,crash,internal interface,other,basic defects
107,773,pytorch,not mentioned,not mentioned,environment,crash,external interface,api defects,basic defects
108,816,tensorflow,yes,no,modeling,incorrect functionality,non-functional defects,model/weight,basic defects
109,820,pytorch,yes,yes,data pipeline,crash,internal interface,data preprocessing bugs,basic defects
110,836,tensorflow,yes,yes,environment,crash,internal interface,api defects,basic defects
111,842,pytorch,yes,yes,training,numerical instability,timing/optimization,evaluation,reproducibility defects
112,854,pytorch,yes,no,environment,bad performance (lower speed),internal interface,wrong environment configuration,evolutionary defects
113,1050,tensorflow,yes,not mentioned,environment,crash,non-functional defects,insufficient/incorrect documentation,basic defects
114,1074,pytorch,yes,yes,training,crash,non-functional defects,evaluation,basic defects
115,1082,tensorflow,yes,not mentioned,data pipeline,numerical instability,logic,nan,basic defects
116,1097,pytorch,yes,not mentioned,training,crash,assignment/initialization,training configurations,basic defects
117,1172,pytorch,no,no,environment,numerical instability,external interface,api defects,basic defects
118,1200,tensorflow,yes,not mentioned,environment,crash,internal interface,other,basic defects
119,1251,tensorflow,yes,not mentioned,environment,incorrect functionality,data structure,corrupt data,evolutionary defects
120,1251,pytorch,yes,no,training,bad performance (lower speed),timing/optimization,evaluation,evolutionary defects
121,1312,pytorch,yes,no,training,crash,assignment/initialization,loss function,basic defects
122,1595,tensorflow,yes,yes,environment,crash,internal interface,wrong environment configuration,basic defects
123,1605,pytorch,yes,no,modeling,crash,internal interface,model/weight,basic defects
124,1836,tensorflow,yes,yes,training,crash,non-functional defects,training configurations,basic defects
125,2231,tensorflow,yes,no,environment,crash,internal interface,wrong environment configuration,basic defects
126,3307,tensorflow,no,yes,environment,numerical instability,external interface,api defects,evolutionary defects
127,3331,tensorflow,yes,not mentioned,environment,crash,data structure,api defects,basic defects
128,3387,tensorflow,yes,yes,training,crash,syntax error,training configurations,basic defects
129,3673,tensorflow,yes,yes,environment,bad performance (lower accuracy),internal interface,wrong environment configuration,reproducibility defects
130,3716,tensorflow,yes,yes,data pipeline,crash,internal interface,data preprocessing bugs,basic defects
131,3882,tensorflow,yes,yes,environment,bad performance (lower accuracy),external interface,gpu usage bug,reproducibility defects
132,3937,tensorflow,yes,no,environment,crash,external interface,api defects,evolutionary defects
133,4114,tensorflow,yes,yes,environment,crash,external interface,api defects,basic defects
134,4780,tensorflow,yes,no,environment,crash,external interface,api defects,basic defects
