,Issue #,Framework,same code,same data,DL Stage,Impacts,General Code Error Type,DL Specific Error Type,Manifestation
24,146,pytorch,yes,yes,data pipeline,bad performance (lower accuracy),assignment/initialization,gpu usage bug,reproducibility defects
25,147,pytorch,yes,no,training,crash,internal interface,gpu usage bug,basic defects
26,157,pytorch,yes,no,training,crash,logic,training data quality,evolutionary defects
27,171,pytorch,yes,yes,training,bad performance (lower accuracy),timing/optimization,training configuration,reproducibility defects
28,178,pytorch,yes,not mentioned,training,crash,checking,evaluation,basic defects
29,197,pytorch,yes,no,training,bad performance (lower accuracy),assignment/initialization,training configuration,evolutionary defects
30,222,pytorch,no,no,training,crash,external interface,modeling,basic defects
31,264,pytorch,no,yes,training,bad performance (lower speed),timing/optimization,gpu usage bug,evolutionary defects
32,264,pytorch,no,yes,modeling,bad performance (lower accuracy),timing/optimization,layers,evolutionary defects
33,279,pytorch,yes,not mentioned,training,crash,internal interface,gpu usage bug,basic defects
34,292,pytorch,yes,not mentioned,training,incorrect functionality,algorithm/method,training configuration,evolutionary defects
35,310,pytorch,yes,yes,training,bad performance (lower accuracy),timing/optimization,hyperparameters,reproducibility defects
36,310,pytorch,yes,yes,training,bad performance (lower accuracy),algorithm/method,loss function ,evolutionary defects
37,312,pytorch,yes,yes,training,incorrect functionality,initialization,evaluation,reproducibility defects
38,324,pytorch,yes,no,training,incorrect functionality,data structure,data preprocessing bugs,reproducibility defects
39,332,keras,yes,yes,training,crash,external interface,api defects,basic defects
40,343,pytorch,no,not mentioned,training,bad performance (lower speed),timing/optimization,evaluation,reproducibility defects
41,354,keras,not mentioned,no,training,bad performance (lower accuracy),algorithm/method,evaluation,evolutionary defects
42,372,pytorch,yes,yes,training,crash,internal interface,evaluation,basic defects
43,412,pytorch,no,not mentioned,environment,incorrect functionality,external interface,wrong environment configuration,basic defects
44,444,pytorch,yes,yes,training,crash,memory exhaustion,gpu usage bug,basic defects
45,447,pytorch,yes,not mentioned,training,incorrect functionality,assignment/initialization,training configuration,reproducibility defects
46,459,pytorch,no,no,training,incorrect functionality,algorithm/method,model/weight,reproducibility defects
47,480,keras,not mentioned,not mentioned,modeling,crash,assignment/initialization,model/weight,basic defects
48,502,tensorflow,yes,no,training,crash,algorithm/method,training data quality,evolutionary defects
49,544,keras,not mentioned,not mentioned,environment,crash,external interface,api defects,basic defects
50,546,keras,yes,not mentioned,modeling,crash,assignment/initialization,model/weight,basic defects
51,628,pytorch,yes,no,training,incorrect functionality,algorithm/method,training configuration,evolutionary defects
52,650,pytorch,yes,no,training,crash,non-functional defects,insufficient/incorrect documentation,basic defects
53,650,pytorch,yes,no,modeling,crash,assignment/initialization,model/weight,basic defects
54,678,pytorch,yes,no,data pipeline,crash,assignment/initialization,data preprocessing bugs,basic defects
55,773,pytorch,not mentioned,not mentioned,modeling,crash,external interface,api defects,basic defects
56,842,pytorch,yes,yes,training,numerical instability,timing/optimization,evaluation,reproducibility defects
57,854,pytorch,yes,no,training,bad performance (lower speed),internal interface,wrong environment configuration,evolutionary defects
58,1074,pytorch,yes,yes,training,crash,non-functional defects,evaluation,basic defects
59,1097,pytorch,yes,not mentioned,training,crash,assignment/initialization,training configuration,reproducibility defects
60,1172,pytorch,no,no,modeling,numerical instability,external interface,api defects,evolutionary defects
61,1251,pytorch,yes,no,training,bad performance (lower speed),timing/optimization,evaluation,reproducibility defects
62,1312,pytorch,yes,no,training,crash,assignment/initialization,loss function ,basic defects
63,1605,pytorch,yes,no,modeling,crash,internal interface,model/weight,basic defects
